ensemble_strategy,n_trials,accuracy,roc_auc,pr_auc,f1,recall,precision,device
voting,30,0.9353231691711456,0.9876743114121532,0.9475819824565432,0.8266341268301222,0.9569740443605476,0.727986912095489,cpu
voting,60,0.949838177763153,0.990727561835494,0.959256887158546,0.8596694826446669,0.9545125058990088,0.7822878171226058,cpu
voting,90,0.9491467709894824,0.9905259928379092,0.9584953470965776,0.8581572043720239,0.9563567720622934,0.7784515685891205,cpu
voting,120,0.9538866342485952,0.9914548127585154,0.9626023159396596,0.8695873649934305,0.9551297781972627,0.7984100719434777,cpu
voting,150,0.948554812133621,0.9904367953807288,0.95852846807133,0.8570602229934987,0.957589428975932,0.7759862393449524,cpu
voting,180,0.9512207475655978,0.9911864975154762,0.9610581547773442,0.8629164019802189,0.953900896649363,0.7881061188921806,cpu
voting,210,0.9505295357878445,0.9909098409349582,0.9602494350980789,0.8618863198286633,0.9588201982067013,0.7830334525636214,cpu
voting,240,0.9501346203063875,0.9906256491685868,0.9593446638744542,0.8605844053243994,0.9557432751297782,0.7830263898461574,cpu
voting,270,0.9488511571788966,0.9906908219748495,0.9589164098486751,0.857606783883137,0.9557470504955168,0.7781773009334068,cpu
voting,300,0.951319123005862,0.9910795702745467,0.9605028679468235,0.8635340637632085,0.9575856536101934,0.7865142496342281,cpu
voting,330,0.9497397535739095,0.9910990411681425,0.9609641388168818,0.8596543436259318,0.9557451628126475,0.7814876058027878,cpu
voting,360,0.953787917565476,0.9916318341059878,0.962641652025544,0.869252832293794,0.9545162812647476,0.7981920507725788,cpu
voting,390,0.9494431160347581,0.9907422491186185,0.9600263281700945,0.8588241384383697,0.9557432751297783,0.7800157897118838,cpu
voting,420,0.9498382752611118,0.9910271193404213,0.9605391445620807,0.8597263763735791,0.9551297781972629,0.7819356468668728,cpu
voting,450,0.9503319074256883,0.9909591905171695,0.9600859620769941,0.8609798870095655,0.9557451628126475,0.7835668748686995,cpu
stacking,30,0.9481598479031845,0.9910006729034228,0.9596125106615098,0.8560277614531902,0.9569759320434168,0.7746919062090292,cpu
stacking,60,0.9496405006520175,0.9913606917802514,0.9621812729338786,0.8590297693342308,0.9538990089664935,0.781574999634232,cpu
stacking,90,0.9486530900759267,0.9909895788801599,0.9603586000709328,0.8566802089346851,0.9538952336007551,0.7777500214920772,cpu
stacking,120,0.9536892983803152,0.9917195280792827,0.9640144835103552,0.8691866666137219,0.955741387446909,0.7973972846478506,cpu
stacking,150,0.9540841651127929,0.9919614801654498,0.9648322062988118,0.8700968672702688,0.9551297781972629,0.7992732790504044,cpu
stacking,180,0.9512207475655978,0.9917021924881325,0.9638267229585982,0.8629554981235487,0.953900896649363,0.7881543361527872,cpu
stacking,210,0.9531954712198214,0.9914930605446521,0.9627739538905731,0.8681989931363046,0.9575856536101934,0.7944205030850247,cpu
stacking,240,0.9542815984790319,0.9918464092385421,0.964184371920202,0.8707703812241512,0.956970268994809,0.7991563240179494,cpu
stacking,270,0.952800360742447,0.9920991777475502,0.9649894903691605,0.866940434552798,0.9557432751297782,0.7934919842831573,cpu
stacking,300,0.9520104810305534,0.9919225672487022,0.9648470860600371,0.8650272537988698,0.9557451628126475,0.7902863379406299,cpu
stacking,330,0.9526029273762081,0.9919684712544763,0.9649453723005467,0.8663963530472392,0.9551297781972629,0.7929826360548836,cpu
stacking,360,0.9528004094914262,0.991415205840713,0.962354752727679,0.8671395232256234,0.9569740443605473,0.7929719604010309,cpu
stacking,390,0.9524057865038451,0.9918313433084418,0.9644470241283871,0.866100154333237,0.9557432751297782,0.7922315691503684,cpu
stacking,420,0.9523066310799118,0.9917663426144407,0.9637725509957404,0.8658005294609664,0.9563567720622934,0.7911731842940929,cpu
stacking,450,0.9518130476643144,0.9916131293895567,0.9633747452533438,0.8644643335115045,0.954520056630486,0.7901819566905258,cpu
