ensemble_strategy,n_trials,feature_selection,feature_engineering,roc_auc,pr_auc,f1,recall,precision,f2,meta_score
stacking,240,1,1,0.9915,0.9629,0.8661,0.9545,0.7929,0.9171167082717336,0.9457283541358669
stacking,240,1,0,0.9909,0.9599,0.8599,0.9545,0.7826,0.9143329090063402,0.9433164545031701
stacking,240,0,1,0.9891,0.9537,0.8459,0.9539,0.7604,0.9077031160055062,0.9377815580027531
stacking,240,0,0,0.9924,0.9656,0.877,0.9576,0.8091,0.9236935622317597,0.9500067811158799
