ensemble_strategy,n_trials,accuracy,roc_auc,pr_auc,f1,recall,precision,device,f2,meta_score
stacking,240.0,0.954281598479032,0.991846409238542,0.964184371920202,0.8707703812241512,0.956970268994809,0.7991563240179494,cpu,0.92061062564248,0.947929906245009
voting,120.0,0.9538866342485952,0.9914548127585154,0.9626023159396596,0.8695873649934305,0.9551297781972627,0.7984100719434777,cpu,0.9190497699314207,0.9465965422993113
,,,0.8961,0.6418,0.5826,0.7815,0.4644,,0.6875991815391611,0.7155595907695806
,,,0.8974,0.6452,0.5866,0.826,0.4557,,0.7105258985200845,0.7283029492600422
,,,0.8961,0.6419,0.5824,0.8251,0.4502,,0.7073003922464679,0.725440196123234
,,,0.9908,0.9606,0.8601,0.9539,0.7835,,0.914137637906994,0.9434088189534969
,,,0.99,0.9581,0.8558,0.9484,0.7802,,0.9091979750319473,0.9400289875159735
,,,0.9893,0.9555,0.8458,0.9465,0.765,,0.9036222388618496,0.9363211194309248
,,,0.9896,0.9562,0.8521,0.949,0.7734,,0.907777915203087,0.9386689576015436
,,,0.9879,0.95,0.8308,0.949,0.7392,,0.8980244764196835,0.9315922382098417
